,chq,faq
6908,"   Last week I had a 3-week-old boy with pyloric stenosis.  I looked up pyloric stenosis to see if ultrasound is still the test of choice. Constriction, Pathologic Pyloric Stenosis Gastric Outlet Obstruction ",   Is ultrasound the test to diagnose pyloric stenosis?
6909,"   Last week I had a 3-week-old boy with pyloric stenosis.  I looked up pyloric stenosis to see if ultrasound is still the test of choice. Constriction, Pathologic Pyloric Stenosis Gastric Outlet Obstruction ","   Second infectious mononucleosis test negative. Is it a false positive (sic, meant negative)?"
6910,"   ""Three-week old boy admitted with pyloric stenosis.  Intravenous fluids.""  I (investigator) asked what the question was.  She said, ""He was still keeping some formula down, but if he did stop eating, I wanted to know what kind of intravenous fluids to give.  I knew how to calculate the rate, I just wanted to know the kind of fluid."" Constriction, Pathologic Pyloric Stenosis Gastric Outlet Obstruction Constriction, Pathologic Pyloric Stenosis Gastric Outlet Obstruction ",   What intravenous fluid should be used in an infant?
6911,"   ""Three-week old boy admitted with pyloric stenosis.  Intravenous fluids.""  I (investigator) asked what the question was.  She said, ""He was still keeping some formula down, but if he did stop eating, I wanted to know what kind of intravenous fluids to give.  I knew how to calculate the rate, I just wanted to know the kind of fluid."" Constriction, Pathologic Pyloric Stenosis Gastric Outlet Obstruction Constriction, Pathologic Pyloric Stenosis Gastric Outlet Obstruction ",   Let's give these immunizations.  That's right isn't it?
6912,"   Rhabdomyolysis.  53-year-old farmer.  On exam, had mildly tender thighs.  I just got a creatinine kinase almost on a lark and it was 676.  ""What do I do now?"" Rhabdomyolysis ",   What is the treatment for rhabdomyolysis?
6913,"   Rhabdomyolysis.  53-year-old farmer.  On exam, had mildly tender thighs.  I just got a creatinine kinase almost on a lark and it was 676.  ""What do I do now?"" Rhabdomyolysis ",   What are the indications for getting a digoxin level?
6914,"   48-year-old woman with cough, shortness of breath, chest pain, negative chest x-ray, normal pulse oximetry, now today has worse peak flows on prednisone, was 270, now 200.  ""What is causing this?"" Chest Pain Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Lung Neoplasms Dyspnea ",   What would cause a persistent cough with a normal chest radiograph?
6915,"   48-year-old woman with cough, shortness of breath, chest pain, negative chest x-ray, normal pulse oximetry, now today has worse peak flows on prednisone, was 270, now 200.  ""What is causing this?"" Chest Pain Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Lung Neoplasms Dyspnea ",   Patient reluctant to take medication. How to control hypertension and still get her cooperation?
6916,"   Last week I had an adult woman seen in the emergency room with dyspnea and she had a mildly elevated D-dimer.  My question was, ""What do I do with this?"" Dyspnea ",   What is the approach to a patient with an elevated d-dimer?
6917,"   Seven-month old boy with bronchiolitis.  ""How much methylprednisolone can I give him?"" Seizures Bronchiolitis Hyponatremia ",   What is the dose of methylprednisolone?
6918,"   Seven-month old boy with bronchiolitis.  ""How much methylprednisolone can I give him?"" Seizures Bronchiolitis Hyponatremia ",   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
6919,"   ""Where do I get growth charts for Downs babies?"" ",   Where can I get Downs growth charts?
6920,"   ""Where do I get growth charts for Downs babies?"" ",   What is the cause and treatment of this old man's stomatitis?
6921,   Elderly man.  I had to look up hematospermia.  How much of a workup you have to do? Hematuria Hemospermia ,   What is the workup for hematospermia?
6922,   Elderly man.  I had to look up hematospermia.  How much of a workup you have to do? Hematuria Hemospermia ,   How should I treat polymenorrhea in a 14-year-old girl?
6923,   I had to look up the definition of Borderline Personality Disorder. Personality Disorders Borderline Personality Disorder ,   What is the definition of Borderline Personality Disorder?
6924,   I had to look up the definition of Borderline Personality Disorder. Personality Disorders Borderline Personality Disorder ,   How should I treat polymenorrhea in a 14-year-old girl?
6925,"   Have you seen this?  (Study physician handed me (investigator) a letter from an orthopedist which told about a new treatment for low back pain called the DRS (Decompression Reduction Stabilization)/Spina System.  ""I'd be interested to know what the orthopedic department at Iowa . . . ask them what they think of that."" Pain, Postoperative ",   Is the DRS (Decompression Reduction Stabilization)/Spina System a legitimate treatment for back pain?
6926,"   Have you seen this?  (Study physician handed me (investigator) a letter from an orthopedist which told about a new treatment for low back pain called the DRS (Decompression Reduction Stabilization)/Spina System.  ""I'd be interested to know what the orthopedic department at Iowa . . . ask them what they think of that."" Pain, Postoperative ",   Patient complains that normal sounds sound too loud.  What should I do about that?
6927,"   ""When we do a sigmoidoscopy, when can we say it was a good one?""  Certainly 60 centimeters is good and probably 45 or 50 but what about 30 or 35? ",   What depth of insertion is adequate for screening flexible sigmoidoscopy?
6928,"   ""When we do a sigmoidoscopy, when can we say it was a good one?""  Certainly 60 centimeters is good and probably 45 or 50 but what about 30 or 35? ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
6929,   42-year-old woman got 7 days of antibiotics for a cellulitis on her finger.  Some use 7 days.  Some use 10.  Some use 14.  I know it's been studied for streptococcal pharyngitis and urinary tract infections but cellulitis? Pharyngitis Emergencies Cellulitis Infection Communicable Diseases Urinary Tract Infections ,   How long should antibiotics be given for a cellulitis?
6930,   42-year-old woman got 7 days of antibiotics for a cellulitis on her finger.  Some use 7 days.  Some use 10.  Some use 14.  I know it's been studied for streptococcal pharyngitis and urinary tract infections but cellulitis? Pharyngitis Emergencies Cellulitis Infection Communicable Diseases Urinary Tract Infections ,   How should I treat polymenorrhea in a 14-year-old girl?
6931,"   I have a patient with gout.  Between Indocin prophylaxis and colchicine prophylaxis, what is better to prevent gout? Gout ",   What is best for prophylaxis of a gout?
6932,"   I have a patient with gout.  Between Indocin prophylaxis and colchicine prophylaxis, what is better to prevent gout? Gout ",   I wonder if this patient could have a rotator cuff thing?
6933,   What are the dosage forms of Effexor? ,   What are the dosage forms of Effexor?
6934,   What are the dosage forms of Effexor? ,   How do you inject the bicipital tendon?
6935,   I have a patient.  Her diastolic blood pressure is 20.  Her systolic blood pressure is 160.  She's already on three antihypertensives.  I heard about the J-curve.  What do I do? ,   Should a low diastolic blood pressure be treated?
6936,   I have a patient.  Her diastolic blood pressure is 20.  Her systolic blood pressure is 160.  She's already on three antihypertensives.  I heard about the J-curve.  What do I do? ,   What is the other drug besides Famvir and acyclovir for Herpes Zoster?
6937,   What do you do for the PSA (prostate-specific antigen)? ,   Should men be screened for prostate cancer?
6938,   What do you do for the PSA (prostate-specific antigen)? ,   Is this rash shingles or staphylococcal impetigo?
6939,   What is the best way to remove seborrheic keratoses? ,   What is the best way to remove seborrheic keratoses?
6940,   This is a 49-year-old patient with a viral illness.  I recommended supportive measures but now she's back and says she's no better and wants antibiotics.  I still think it's a virus.  How long do you fight it before you just give antibiotics? Zika Virus Infection Zika Virus Infection ,   When should antibiotics be given to a patient who probably has a viral illness but wants antibiotics?
6941,   This is a 49-year-old patient with a viral illness.  I recommended supportive measures but now she's back and says she's no better and wants antibiotics.  I still think it's a virus.  How long do you fight it before you just give antibiotics? Zika Virus Infection Zika Virus Infection ,   What is the dose of Sporanox?
6942,   Is this a fungal infection? Mycoses Infection Communicable Diseases Invasive Fungal Infections ,   Is this a fungal infection?
6943,   Is this a fungal infection? Mycoses Infection Communicable Diseases Invasive Fungal Infections ,   How much folic acid is in Zenate?
6944,   Ultraviolet keratitis.  Like welder burns.  Do you need to use antibiotic drops? Burns Infection Communicable Diseases Keratitis ,   Should antibiotic drops be used for ultraviolet keratitis?
6945,   Ultraviolet keratitis.  Like welder burns.  Do you need to use antibiotic drops? Burns Infection Communicable Diseases Keratitis ,   Why did she get Coccidiomycosis?
6946,   I saw a girl with a seizure disorder.  I had to look up Keppra and Topamax.  Have you ever heard of those? Sclerosis Epilepsy Tuberous Sclerosis Tuberous Sclerosis ,   What is Keppra?
6947,   I saw a girl with a seizure disorder.  I had to look up Keppra and Topamax.  Have you ever heard of those? Sclerosis Epilepsy Tuberous Sclerosis Tuberous Sclerosis ,   How should I treat polymenorrhea in a 14-year-old girl?
6948,   I have a patient with Graves disease.  Ablation done.  Still hyperthyroid.  Every time I get her lab work back I have to rethink how to adjust her Tapazole. Graves Disease ,   How should the Tapazole be adjusted in this patient?
6949,   I have a patient with Graves disease.  Ablation done.  Still hyperthyroid.  Every time I get her lab work back I have to rethink how to adjust her Tapazole. Graves Disease ,   Let's give these immunizations.  That's right isn't it?
6950,   The nurse came in and said he had to rewrite the prescription for cholestyramine light for 90 days because 4 cans was not enough.  He called the pharmacist and told him she was getting two scoops twice a day and wanted to know how long one can would last. ,   How long should a can of cholestyramine last?
6951,   The nurse came in and said he had to rewrite the prescription for cholestyramine light for 90 days because 4 cans was not enough.  He called the pharmacist and told him she was getting two scoops twice a day and wanted to know how long one can would last. ,   Let's give these immunizations.  That's right isn't it?
6952,   I've got a guy with a goiter who is hypothyroid.  I had the surgeon look at him after getting an ultrasound and the surgeon increased the dose of Synthroid even though the thyroid stimulating hormone was normal.  He wanted to oversuppress her to make the goiter shrink and reduce the risk of cancer.  But I didn't think you were supposed to do that. Goiter Hypothyroidism Pancreatic Neoplasms Pancreatic Cancer ,"   In a patient with hypothyroidism, how should the thyroxine dose be determined?"
6953,   I've got a guy with a goiter who is hypothyroid.  I had the surgeon look at him after getting an ultrasound and the surgeon increased the dose of Synthroid even though the thyroid stimulating hormone was normal.  He wanted to oversuppress her to make the goiter shrink and reduce the risk of cancer.  But I didn't think you were supposed to do that. Goiter Hypothyroidism Pancreatic Neoplasms Pancreatic Cancer ,   What is the dose of oral Lamisil?
6954,"   I had a man in the hospital a week ago.  He had a superficial vein thrombosis.  I know you're not supposed to anticoagulate if it's superficial but I repeated the ultrasound three or four days later and it showed ""slight extension."" Thrombosis ",   How should you manage a thrombosis of the cephalic vein?
6955,"   I had a man in the hospital a week ago.  He had a superficial vein thrombosis.  I know you're not supposed to anticoagulate if it's superficial but I repeated the ultrasound three or four days later and it showed ""slight extension."" Thrombosis ",   Estimated fetal weight on ultrasound in grams; what is it in pounds so I can tell mother?
6956,"   Young lady on oral contraceptives, obese, had a pulmonary embolus.  ""How long to continue Coumadin?"" Embolism Pulmonary Embolism ",   How long should you continue warfarin for a pulmonary embolus?
6957,"   Young lady on oral contraceptives, obese, had a pulmonary embolus.  ""How long to continue Coumadin?"" Embolism Pulmonary Embolism ",   What are the indications for getting a digoxin level?
6958,"   This lady had morbid obesity, had bariatric surgery, no nausea or vomiting, not on a diuretic and her potassium is 3.1.  ""Does bariatric surgery have anything to do with that?"" Pediatric Obesity Obesity Nausea Vomiting Postoperative Nausea and Vomiting Vomiting Postoperative Nausea and Vomiting ",   What affect does bariatric surgery have on the serum potassium?
6959,"   This lady had morbid obesity, had bariatric surgery, no nausea or vomiting, not on a diuretic and her potassium is 3.1.  ""Does bariatric surgery have anything to do with that?"" Pediatric Obesity Obesity Nausea Vomiting Postoperative Nausea and Vomiting Vomiting Postoperative Nausea and Vomiting ",   Is there a hemoglobin AIC criterion for diabetes?
6960,"   38-year-old man.  Heel pain. I (investigator) asked what the question was -- was it ""What is the best treatment for heel pain?""  He said, ""What is the best treatment that the literature has shown to be most effective and most cost effective."" Pain, Postoperative Fasciitis Fasciitis, Plantar ",   What is the treatment for heel pain?
6961,"   38-year-old man.  Heel pain. I (investigator) asked what the question was -- was it ""What is the best treatment for heel pain?""  He said, ""What is the best treatment that the literature has shown to be most effective and most cost effective."" Pain, Postoperative Fasciitis Fasciitis, Plantar ","   Diabetic on insulin. Will new medications (Glucophage, acarbose) allow him to get off?"
6962,   What is the best shoe for walkers who have a lot of calluses? ,   What are the best shoes for calluses?
6963,"   In the context of Hispanic or Vietnamese non-English speakers, can you simply translate the Folstein Mini Mental State Exam or are there cultural differences that would also make a difference? ",   How should the Mini Mental State exam be administered to a non-English speaker?
6964,"   In the context of Hispanic or Vietnamese non-English speakers, can you simply translate the Folstein Mini Mental State Exam or are there cultural differences that would also make a difference? ",   How should I treat polymenorrhea in a 14-year-old girl?
6965,"   With pulmonary embolus, where does the money lie?  Spiral computerized tomography or ventilation perfusion scan?  Which is most cost effective?  Has it been proven which way to go? Embolism Pulmonary Embolism ",   Which is the best test to rule out pulmonary embolus?
6966,"   With pulmonary embolus, where does the money lie?  Spiral computerized tomography or ventilation perfusion scan?  Which is most cost effective?  Has it been proven which way to go? Embolism Pulmonary Embolism ",   What size pills does digoxin come in?
6967,"   Fatty liver.  What I don't know is whether biopsy is the standard of care.  ""Is that the standard of care?"" ",   Is it the standard of care to biopsy all patients with fatty liver?
6968,"   Fatty liver.  What I don't know is whether biopsy is the standard of care.  ""Is that the standard of care?"" ",   Will the urine still be good for culture if it sits overnight in the refrigerator?
6969,"   ""Pertussis.  I had to look up whether or not we have to treat the people who are exposed and whether to use erythromycin. Whooping Cough Whooping Cough ",   Do Pertussis contacts need to be treated?
6970,"   ""Pertussis.  I had to look up whether or not we have to treat the people who are exposed and whether to use erythromycin. Whooping Cough Whooping Cough ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
6971,   This morning we looked up Lisch nodules.  I (investigator) asked him what the question was.  He said he wanted to check to see what other stigmata of neurofibromatosis we should check for. Neurofibromatoses Neurofibromatosis 1 Neurofibroma Neurofibromatosis Neurofibromatosis Type 1 Neurofibroma ,   What other stigmata of neurofibromatosis in a 4-year-old?
6972,   This morning we looked up Lisch nodules.  I (investigator) asked him what the question was.  He said he wanted to check to see what other stigmata of neurofibromatosis we should check for. Neurofibromatoses Neurofibromatosis 1 Neurofibroma Neurofibromatosis Neurofibromatosis Type 1 Neurofibroma ,   What is the cause of this hepatitis and where do I go from here with testing?
6973,   Yesterday our chief resident got a call from the local newspaper wanting to know our position on circumcision because he wanted to start an anticircumcision group. ,   What is the American Academy of Pediatrics position on circumcision?
6974,   Yesterday our chief resident got a call from the local newspaper wanting to know our position on circumcision because he wanted to start an anticircumcision group. ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
6975,   Two kids going to India near Bombay.  What is the alternative to mefloquine if they are going to a chloroquin-resistant area? ,   What malaria prophylaxis should be used for a child going to Bombay?
6976,   Two kids going to India near Bombay.  What is the alternative to mefloquine if they are going to a chloroquin-resistant area? ,   I wonder if this patient could have a rotator cuff thing?
6977,"   What typhoid vaccine should we give children over age 2 years, going to India? Typhoid Fever Typhoid Fever ",   What typhoid vaccine should a child over age 2 years receive?
6978,"   What typhoid vaccine should we give children over age 2 years, going to India? Typhoid Fever Typhoid Fever ",   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
6979,"   I saw a young boy.  ""What is the definition of conduct disorder?"" Conduct Disorder ",   What is the definition of conduct disorder?
6980,"   I saw a young boy.  ""What is the definition of conduct disorder?"" Conduct Disorder ","   46-year-old woman, thyroid nodule. Thyroid function tests normal. Would you skinny needle it?"
6981,"   Ludiomil.  Patient came in to the emergency room on it.  ""What in the heck is that?"" ",   What is Ludiomil?
6982,"   ""Are the Typhoid vaccine pills on the market?"" ",   Are the typhoid vaccine pills on the market?
6983,"   ""Are the Typhoid vaccine pills on the market?"" ",   How should I treat polymenorrhea in a 14-year-old girl?
6984,   Six-and-three-quarters-year-old in first grade.  What do you do for selective mutism? ,   What do you do for elective mutism?
6985,   Six-and-three-quarters-year-old in first grade.  What do you do for selective mutism? ,"   Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?"
6986,"   I saw a lady with what looked like a squamous cell carcinoma.  I excised it.  The path report said in the plane of the section there was no malignancy but there was cellular atypia.  I didn't know if I should excise further or what. Carcinoma, Hepatocellular Liver Neoplasms Carcinoma Carcinoma, Squamous Cell Oral Squamous Cell Carcinoma ","   If a skin excision shows ""cellular atypia,"" what should you do?"
6987,"   I saw a lady with what looked like a squamous cell carcinoma.  I excised it.  The path report said in the plane of the section there was no malignancy but there was cellular atypia.  I didn't know if I should excise further or what. Carcinoma, Hepatocellular Liver Neoplasms Carcinoma Carcinoma, Squamous Cell Oral Squamous Cell Carcinoma ",   What is the cause and treatment of this old man's stomatitis?
6988,"   Metacarpal fracture in a 25-year-old man.  I didn't know exactly what cast to put on and whether I needed a special cast to include the fingers. Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   What cast should be used for a fourth metacarpal fracture?
6989,"   Metacarpal fracture in a 25-year-old man.  I didn't know exactly what cast to put on and whether I needed a special cast to include the fingers. Periprosthetic Fractures Fractures, Bone Femoral Fractures ","   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
6990,"   Five-year-old boy with a distal radius fracture (buckle fracture).  Should I use a long arm cast or short arm? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   Should I use a short- or long-arm cast for a buckle fracture?
6991,"   Five-year-old boy with a distal radius fracture (buckle fracture).  Should I use a long arm cast or short arm? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   Probably a normal 18 month old but how many respiratory infections are normal?
6992,"   Elderly man with rheumatoid arthritis.  What labs do you need to follow in a patient on methotrexate other than liver function tests and a complete blood count? Arthritis Arthritis, Rheumatoid ",   What lab work should be monitored in a patient on methotrexate?
6993,"   Elderly man with rheumatoid arthritis.  What labs do you need to follow in a patient on methotrexate other than liver function tests and a complete blood count? Arthritis Arthritis, Rheumatoid ",   How do you use Redux?  What are the indications?
6994,   35-year-old woman swallowed her tongue piercing.  I called gastroenterology to ask if I should send her home of if they wanted to try to remove it. ,"   If someone swallows their tongue piercing, should you just let it pass?"
6995,   35-year-old woman swallowed her tongue piercing.  I called gastroenterology to ask if I should send her home of if they wanted to try to remove it. ,   How should I treat polymenorrhea in a 14-year-old girl?
6996,"   There was a patient (50-year-old man) with left bundle branch block (questionably new or old) who had chest pain.  I set him up for a stress echocardiogram, but the cardiologist said he could not do the stress echocardiogram due to the left bundle branch block.  He wanted to do a pharmacologic stress echocardiogram (rather than exercise).  ""Why is that?"" Chest Pain Bundle-Branch Block Heart Septal Defects Heart Septal Defects, Ventricular Heart Block Ventricular Septal Defects ",   Why should you do a pharmacologic stress echocardiogram in a patient with left bundle branch block?
6997,"   There was a patient (50-year-old man) with left bundle branch block (questionably new or old) who had chest pain.  I set him up for a stress echocardiogram, but the cardiologist said he could not do the stress echocardiogram due to the left bundle branch block.  He wanted to do a pharmacologic stress echocardiogram (rather than exercise).  ""Why is that?"" Chest Pain Bundle-Branch Block Heart Septal Defects Heart Septal Defects, Ventricular Heart Block Ventricular Septal Defects ",   How do you inject the bicipital tendon?
6998,"   I had a lady with rheumatoid arthritis.  ""What is the minimum dose of steroids for maintenance, that I don't have to worry about osteoporosis or gastrointestinal side effects, that I should shoot for?"" Arthritis Arthritis, Rheumatoid Osteoporosis Fractures, Bone ",   What is the minimum dose of Prednisone to avoid side effects?
6999,"   I had a lady with rheumatoid arthritis.  ""What is the minimum dose of steroids for maintenance, that I don't have to worry about osteoporosis or gastrointestinal side effects, that I should shoot for?"" Arthritis Arthritis, Rheumatoid Osteoporosis Fractures, Bone ","   Several ear infections, doesn't get over them completely.  Which antibiotic now?"
7000,   46-year-old woman.  What is the success rate in using phenol to prevent the nail from growing back after removing an ingrown toenail? ,   What is the success rate in using phenol to prevent nail regrowth?
7001,   46-year-old woman.  What is the success rate in using phenol to prevent the nail from growing back after removing an ingrown toenail? ,   How do you inject the bicipital tendon?
7002,"   79-year-old man in for followup of sciatica.  My question is . . . Obviously with definite signs of spinal cord compression we get active and do further workup.  The question is . . . Some patients come in with vague symptoms and soft signs.  ""How far do we go in working them up?"" Emergencies Sciatica ","   In patients with low back pain, what is the recommended workup?"
7003,"   79-year-old man in for followup of sciatica.  My question is . . . Obviously with definite signs of spinal cord compression we get active and do further workup.  The question is . . . Some patients come in with vague symptoms and soft signs.  ""How far do we go in working them up?"" Emergencies Sciatica ",   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
7004,"   46-year-old woman with pituitary.  There should be a book with all you need to know about prescribing steroids.  It should have all types of steroids and a comparison scale with the concept of equivalent doses and the concept of physiologic levels and the concept of stress dosing, and how to bump up and taper down. ",   Is there a source that presents comprehensive information about steroids?
7005,"   46-year-old woman with pituitary.  There should be a book with all you need to know about prescribing steroids.  It should have all types of steroids and a comparison scale with the concept of equivalent doses and the concept of physiologic levels and the concept of stress dosing, and how to bump up and taper down. ",   Let's give these immunizations.  That's right isn't it?
7006,"   Swelling in the body.  Non-specific swelling, for example in the hands, not necessarily dependent edema.  You do a workup and there's no proteinuria and no kidney problem.  Is it even worthwhile working it up? Edema Proteinuria ",   What is the approach to nonspecific generalized edema?
7007,"   Swelling in the body.  Non-specific swelling, for example in the hands, not necessarily dependent edema.  You do a workup and there's no proteinuria and no kidney problem.  Is it even worthwhile working it up? Edema Proteinuria ",   Can Staphylococcus or Haemophilus influenza sepsis give same clinical picture as streptococcal septicemia?
7008,   Leg cramps and use of quinine.  Two questions.  Is there literature to support the use of quinine?  Also why do leg cramps occur and how do you address them? Liver Cirrhosis Muscle Cramp Spasm Fibrosis ,   What is the approach to leg cramps?
7009,   Leg cramps and use of quinine.  Two questions.  Is there literature to support the use of quinine?  Also why do leg cramps occur and how do you address them? Liver Cirrhosis Muscle Cramp Spasm Fibrosis ,   First hepatitis B vaccine 6 months ago. Will give second now and third in 1 month. Is that okay?
7010,"   We see a lot of people with depression.  Many of them see psychiatrists.  They put the patient on lithium.  They may fail to check a lithium level.  As a primary care provider, how often do you check the lithium level? Depression Depressive Disorder ",   How often should lithium levels be checked?
7011,"   We see a lot of people with depression.  Many of them see psychiatrists.  They put the patient on lithium.  They may fail to check a lithium level.  As a primary care provider, how often do you check the lithium level? Depression Depressive Disorder ",   What are the indications for getting a digoxin level?
7012,"   I've got a woman with stage I breast cancer, 2 years status post mastectomy.  ""Am I considered a survivor?""  That's what she asked me. Breast Neoplasms ","   Two years after for stage I breast cancer, is the patient considered a ""survivor""?"
7013,"   I've got a woman with stage I breast cancer, 2 years status post mastectomy.  ""Am I considered a survivor?""  That's what she asked me. Breast Neoplasms ",   What antibiotic should I use for this diabetic patient's infected foot ulcer?
7014,"   In medical school we always used to do tuberculin skin tests with controls.  ""Why aren't we doing controls anymore?"" ",   Why don't we use controls with tuberculin skin testing anymore?
7015,"   In medical school we always used to do tuberculin skin tests with controls.  ""Why aren't we doing controls anymore?"" ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
7016,   When do we stop doing mammograms?  What age? ,   At what age should screening mammograms no longer be recommended?
7017,   When do we stop doing mammograms?  What age? ,   What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?
7018,   Should we recommend colonoscopy earlier than usual if there is a family history of polyps? Polyps Colonic Polyps ,   Does a family history of colonic polyps alter colonoscopy recommendations?
7019,   Should we recommend colonoscopy earlier than usual if there is a family history of polyps? Polyps Colonic Polyps ,"   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?"
7020,"   Does every person with bad esophagitis need endoscopy, looking for Barrett's? Esophagitis, Peptic Esophagitis ",   Which patients should be screened for Barrett's esophagus?
7021,"   Does every person with bad esophagitis need endoscopy, looking for Barrett's? Esophagitis, Peptic Esophagitis ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
7022,   50-year-old woman here for a complete physical exam.   What's the best way to taper someone off an estrogen/progesterone combination? ,   How should combination estrogen and progesterone be tapered?
7023,   50-year-old woman here for a complete physical exam.   What's the best way to taper someone off an estrogen/progesterone combination? ,   How do you inject the bicipital tendon?
7024,   50-year-old woman.  What are the indications for getting bone density scans? ,   What are the indications for bone density scans?
7025,   50-year-old woman.  What are the indications for getting bone density scans? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
7026,   Is it legal to send prescriptions to Canada? ,   Is it legal to mail prescriptions to Canada?
7027,   Is it legal to send prescriptions to Canada? ,   How should I treat polymenorrhea in a 14-year-old girl?
7028,   Does every stroke patient need to be admitted to the hospital? Stroke ,   What are the indications for admission with a mild stroke?
7029,   Does every stroke patient need to be admitted to the hospital? Stroke ,   Why did she get Coccidiomycosis?
7030,   How long do you continue antidepressants or antianxiety medications after the patient is improved? ,   How long should antidepressants be given after the patient improves?
7031,   How long do you continue antidepressants or antianxiety medications after the patient is improved? ,   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
7032,   55-year-old woman.  What is the treatment for DeQuervain's tenosynovitis and should a splint be used? Tenosynovitis Tendinopathy ,   What is the treatment for deQuervain's tenosynovitis?
7033,   55-year-old woman.  What is the treatment for DeQuervain's tenosynovitis and should a splint be used? Tenosynovitis Tendinopathy ,   What is the bulletin for patients with Crohn's and how to get them on mailing list?
7034,   47-year-old man.  What evaluation should be done for erectile dysfunction? Erectile Dysfunction ,   What is the evaluation of erectile dysfunction?
7035,   47-year-old man.  What evaluation should be done for erectile dysfunction? Erectile Dysfunction ,   Does Glucophage come in a one-gram tablet?
7036,"   Five-year-old boy with ""reactive airway disease.""  The question was, ""What is the difference between asthma and reactive airway disease?"" Asthma Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Quality of Life Idiopathic Pulmonary Fibrosis ",   What is the difference between asthma and reactive airway disease?
7037,"   Five-year-old boy with ""reactive airway disease.""  The question was, ""What is the difference between asthma and reactive airway disease?"" Asthma Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Quality of Life Idiopathic Pulmonary Fibrosis ","   Man complaining of yellow urethral discharge, resolved spontaneously 2 days later. What now?"
7038,"   We saw this lady with a history of renal stones and hypercalcemia.  The parathyroid hormone was 5 (normal 10 to 65), the calcium was about 9 (normal) and the phosphorus was about 2.0 (should be greater than 2.5).  ""So it's like, OK, what do we do with this now?"" Nephrolithiasis Kidney Calculi Calculi Hypercalcemia Granuloma ",   What is the evaluation of a low phosphorus?
7039,"   We saw this lady with a history of renal stones and hypercalcemia.  The parathyroid hormone was 5 (normal 10 to 65), the calcium was about 9 (normal) and the phosphorus was about 2.0 (should be greater than 2.5).  ""So it's like, OK, what do we do with this now?"" Nephrolithiasis Kidney Calculi Calculi Hypercalcemia Granuloma ",   Patient had synovitis of thumb (with stenosing).  How to treat?
7040,"   With a 6-month to 12-month old infant, how do you supplement their diet if the mother is a vegetarian and wants her child to also be a vegetarian? How do you give them enough protein? ",   How should a six-month old's vegetarian diet be supplemented with protein?
7041,"   With a 6-month to 12-month old infant, how do you supplement their diet if the mother is a vegetarian and wants her child to also be a vegetarian? How do you give them enough protein? ",   How should I treat polymenorrhea in a 14-year-old girl?
7042,   What immunizations should this 45-year-old woman get before she goes to Viet Nam in two weeks? ,   What immunizations are needed for travel to Saigon?
7043,   What immunizations should this 45-year-old woman get before she goes to Viet Nam in two weeks? ,   How do you use Redux?  What are the indications?
7044,   What is the dose of Augmentin XR? ,   What is the dose of Augmentin XR?
7045,   What is the dose of Augmentin XR? ,   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
7046,   What are the indications for plain x-rays or magnetic resonance imaging in patients with low back pain? Back Pain Low Back Pain ,   What are the indications for plain films in patients with low back pain?
7047,   What are the indications for plain x-rays or magnetic resonance imaging in patients with low back pain? Back Pain Low Back Pain ,   Could Procardia or Mevacor cause tinnitus?
7048,"   If the triglycerides are high, like 500, do you treat the low-density-lipoprotein cholesterol first with a statin even though you don't know what it is (cannot calculate if triglycerides over 400) or do you treat the triglycerides with Lopid? ",   What is the treatment for high triglycerides and low low-density-lipoprotein cholesterol?
7049,"   If the triglycerides are high, like 500, do you treat the low-density-lipoprotein cholesterol first with a statin even though you don't know what it is (cannot calculate if triglycerides over 400) or do you treat the triglycerides with Lopid? ",   What are long-term options for hemorrhagic gastritis beyond H2 blockers?
7050,   What is the dose of Klonopin? ,   What is the dose of Klonopin?
7051,   What is the dose of Klonopin? ,   How should I treat polymenorrhea in a 14-year-old girl?
7052,"   What is the dose of Amaryl? Diabetes Mellitus, Type 2 Diabetes Mellitus ",   What is the dose of Amaryl?
